fileName,category,finish,projectName,location,description
01-kitchen-cabinets-1.jpg,partitions,mill,Kitchen Cabinets,South C, Nairobi,"Modern kitchen cabinets with aluminium frames"
02-kitchen-cabinets-2.jpg,partitions,mill,Kitchen Cabinets,South C, Nairobi,"Modern kitchen cabinets with aluminium frames"
03-frameless-doors-1.jpg,doors,mill,"Frameless Doors",Karen Estate,"Premium frameless aluminium doors with clean lines"
04-gypsum-partition.jpg,partitions,mill,"Gypsum Wall and Glass Partitioning",Nairobi,"Professional gypsum wall with glass partition installation"
05-shower-cubicles-1.jpg,windows,mill,"Frameless Shower Cubicles",Nairobi,"Custom frameless shower cubicle installations"
06-wood-finish-doors.jpg,doors,bronze,"Wood Finish Aluminium Door and Windows",Karen Estate,"Elegant wood finish aluminium doors and windows"
07-office-partition.jpg,partitions,mill,"Aluminium Glass and Board Office Partitioning",Westlands,"Office partitioning with aluminium and glass boards"
08-swing-door.jpg,doors,mill,"Double Door, Swing Door",Nairobi,"Double door and swing door installations"
09-shower-frost-glass.jpg,windows,mill,"Aluminium Shower Cubicle with Frost Glass",Nairobi,"Shower cubicles with frost glass finish"
10-gypsum-walls.jpg,partitions,mill,"Gypsum Walls and Ceilings",Nairobi,"Gypsum wall and ceiling installation services"
11-sliding-doors-karen.jpg,doors,mill,"Sliding Doors in Karen Estate",Karen Estate,"Beautiful sliding doors installed in Karen Estate"
12-shower-cubicles-2.jpg,windows,mill,"Frameless Shower Cubicles",Nairobi,"Another frameless shower cubicle installation"
13-shower-small-spaces.jpg,windows,bronze,"Aluminium Shower Cubicle Design for Small Spaces",Nairobi,"Space-saving shower cubicle designs"
14-sliding-doors.jpg,doors,mill,"Sliding Doors",Nairobi,"Versatile sliding door solutions"
15-diani-windows.jpg,windows,mill,"Aluminium Windows and Doors in Diani, Kwale County",Diani, Kwale County,"Complete aluminium windows and doors installation"
16-projected-windows.jpg,windows,mill,"Projected Windows/Top Hung Windows",Nairobi,"Specialized projected and top hung window installations"
17-louvre-partition.jpg,partitions,champagne,"Aluminium Partitioning with Louvres for Ventilation",Nairobi,"Ventilation louvre partition systems"
18-grey-glass.jpg,windows,black,"Grey Aluminium with Tinted Grey Glass",Nairobi,"Modern grey aluminium with tinted grey glass windows"
19-wood-finish-aluminium.jpg,windows,bronze,"Wood Finish Aluminium, In Karen Estate",Karen Estate,"Premium wood finish aluminium products"
20-kitchen-cabinets-scc.jpg,partitions,mill,"Kitchen Cabinets in South C, Nairobi",South C, Nairobi,"Custom kitchen cabinets installation"
21-closet-cabinets.jpg,partitions,silver,"Closet Cabinets",Nairobi,"Custom closet cabinet solutions"
22-gypsum-double-door.jpg,partitions,mill,"Gypsum Partition with Aluminium Double Door and Glass",Nairobi,"Professional gypsum partition with double door"
23-eastleigh-windows.jpg,windows,mill,"Aluminium Sliding Windows at Eastleigh Estate",Eastleigh Estate,"Modern sliding windows for Eastleigh Estate"
24-isiolo-work.jpg,windows,mill,"Aluminium Work in Isiolo County, Sericho",Isiolo County,"Complete aluminium work in Isiolo County"
25-office-partitioning.jpg,partitions,mill,"Office Partitioning",Westlands,"Business grade office partitioning systems"
26-champagne-finish.jpg,partitions,champagne,"Champagne Finish",Nairobi,"Elegant champagne finish aluminium products"
27-ojwang-hardware.jpg,partitions,silver,"Ojwang Hardware, Oyugis, Homa Bay County",Oyugis, Homa Bay County,"Hardware installation project in Homa Bay"
28-shop-counter.jpg,partitions,silver,"Shop Counter Display",Kisumu,"Modern shop counter display installation"
29-shower-cubicle.jpg,windows,mill,"Shower Cubicle",Nakuru,"Custom shower cubicle installation"
30-gold-pearl-restaurant.jpg,partitions,silver,"Gold Pearl Restaurant, Oyugis, Homa Bay",Oyugis, Homa Bay County,"Restaurant project with gold pearl finish"
31-shop-reception.jpg,partitions,mill,"Shop Display/Reception Counter Tops",Nairobi,"Professional reception counter installation"
32-gypsum-acoustic.jpg,partitions,champagne,"Gypsum Wall, Aluminium and Glass Partitioning with Acoustic Ceiling",Nairobi,"Acoustic ceiling and partitioning solution"
33-gtc-westlands.jpg,partitions,mill,"At GTC, Westlands",Westlands,"Commercial project at GTC building in Westlands"
34-migaa-golf.jpg,partitions,bronze,"Aluminium Work at Migaa Golf Estate, Kiambu",Migaa Golf Estate, Kiambu,"Golf estate aluminium installation"
35-louvre-frames.jpg,partitions,champagne,"Hizi ni Louvre Frames, For Ventilation. Champagne Colour",Nairobi,"Ventilation louvre frames in champagne finish"
